add_reads,copy_reads,error,family,mul_reads,name,notes,ops,output_reads,score,semantic
26160,25200,,dead_input_output_reuse,14336,dead_input_outputs_packed,,9696,4357,70053,ok
27120,25362,,sa_cache,14336,sa_cache_8x4,,9728,6784,73602,ok
23760,34720,,sa_cache,14336,sa_cache_4x4,,10240,6704,79520,ok
28920,29740,,sa_cache,15872,sa_cache_4x8,,9728,6804,81336,ok
21360,35044,,trace_alloc,21504,panelalloc_4x4x1_a1b1,"hot_slots=TMP:3840,A_0_0:1024,A_1_0:1024,A_2_0:1024,A_3_0:1024,B_0_0:1024",10240,6719,84627,ok
22320,37490,,trace_alloc,20992,panelalloc_8x2x1_a1b1,"hot_slots=TMP:3840,B_0_0:2048,B_0_1:2048,A_0_0:512,A_1_0:512,A_2_0:512",10752,6729,87531,ok
18240,46340,,trace_alloc,19456,panelalloc_2x4x1_a1b1,"hot_slots=TMP:3840,A_0_0:2048,A_1_0:2048,B_0_0:1024,B_0_1:1024,B_0_2:1024",11264,6668,90704,ok
18240,46340,,trace_alloc,19456,panelalloc_4x2x1_a1b1,"hot_slots=TMP:3840,B_0_0:2048,B_0_1:2048,A_0_0:1024,A_1_0:1024,A_2_0:1024",11264,6668,90704,ok
22800,61520,,trace_alloc,12288,panelalloc_8x2x1_a0b1,"hot_slots=A_0:4096,TMP:3840,B_0_0:2048,B_0_1:2048,C_0_0:256,C_0_1:256",12800,6694,103302,ok
24480,45988,,panel,31744,panel_4x2x1_a1b1,,11264,6668,108880,ok
20640,70068,,trace_alloc,12288,panelalloc_2x4x1_a1b0,"hot_slots=B_0:4096,TMP:3840,A_0_0:2048,A_1_0:2048,C_0_0:512,C_0_1:512",13312,6653,109649,unchecked
20640,70068,,trace_alloc,12288,panelalloc_4x2x1_a0b1,"hot_slots=A_0:4096,TMP:3840,B_0_0:2048,B_0_1:2048,C_0_0:512,C_0_1:512",13312,6653,109649,unchecked
31200,34676,,panel,40960,panel_4x4x1_a1b1,,10240,6719,113555,unchecked
24480,54588,,panel,30720,panel_2x4x1_a1b1,,11264,6668,116456,unchecked
23760,72520,,trace_alloc,14336,panelalloc_4x4x1_a1b0,"hot_slots=B_0:4096,TMP:3840,A_0_0:1024,A_1_0:1024,A_2_0:1024,A_3_0:1024",13312,6704,117320,unchecked
23760,72520,,trace_alloc,14336,panelalloc_4x4x1_a0b1,"hot_slots=A_0:4096,TMP:3840,B_0_0:1024,B_0_1:1024,B_0_2:1024,B_0_3:1024",13312,6704,117320,unchecked
35040,37058,,panel,43008,panel_8x2x1_a1b1,,10752,6729,121835,unchecked
29760,67920,,tiled,19456,tiled_2x2,,12544,6658,123794,unchecked
24480,69812,,panel,28672,panel_4x2x1_a0b1,,13312,6653,129617,unchecked
52800,39072,,tiled,35072,tiled_4x4,copied baseline tiled generator,10496,6839,133783,unchecked
21600,91432,,trace_alloc,14336,panelalloc_2x4x1_a0b1,"hot_slots=A_0:4096,TMP:3840,B_0_0:1024,B_0_1:1024,B_0_2:1024,B_0_3:1024",14336,6663,134031,unchecked
21600,91432,,trace_alloc,14336,panelalloc_4x2x1_a1b0,"hot_slots=B_0:4096,TMP:3840,A_0_0:1024,A_1_0:1024,A_2_0:1024,A_3_0:1024",14336,6663,134031,unchecked
31200,61312,,panel,40960,panel_8x2x1_a0b1,,12800,6694,140166,unchecked
25680,94672,,trace_alloc,15872,panelalloc_8x2x1_a1b0,"hot_slots=B_0:4096,TMP:3840,A_0_0:512,A_1_0:512,A_2_0:512,A_3_0:512",14336,6724,142948,unchecked
24480,91112,,panel,28672,panel_2x4x1_a0b1,,14336,6663,150927,unchecked
31200,72248,,panel,40960,panel_4x4x1_a0b1,,13312,6704,151112,unchecked
24480,95864,,panel,30720,panel_2x4x1_a1b0,,13312,6653,157717,unchecked
24480,108368,,panel,31744,panel_4x2x1_a1b0,,14336,6663,171255,unchecked
31200,97592,,panel,40960,panel_4x4x1_a1b0,,13312,6704,176456,unchecked
35040,111016,,panel,40960,panel_8x2x1_a1b0,,14336,6724,193740,unchecked
104100,28842,,tiled,65920,tiled_8x8,,9472,7502,206364,unchecked
206415,,,baseline,127696,baseline_16x16,naive triple loop,7936,6593,340704,unchecked
